,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-12 20:21:00,13495.951612903227,btc,13531.0,13640.0,usd,2018-01-12,2018-01-12 20:21:00,1515777660.0,0.005063376105651625,-7661153.240439642,35.66785359
2018-01-13 23:32:00,14143.970744799033,btc,14146.0,14237.0,usd,2018-01-13,2018-01-13 23:32:00,1515875520.0,0.007148760448789834,-10822188.712751152,26.07453695
2018-01-14 09:15:00,13718.555851969355,btc,13800.0,13851.0,usd,2018-01-14,2018-01-14 09:15:00,1515910500.0,-0.001717379724511672,2617549.54705902,48.35577961
2018-01-14 13:09:00,13483.090341038547,btc,13471.0,13581.0,usd,2018-01-14,2018-01-14 13:09:00,1515924540.0,-0.006917361283023455,10500050.271290686,5.906378310000001
2018-01-14 19:24:00,13077.590074722746,btc,13187.0,13215.0,usd,2018-01-14,2018-01-14 19:24:00,1515947040.0,-0.013953376371619685,21165886.76194909,21.011681410000005
2018-01-16 00:41:00,13771.388531141936,btc,13796.0,13899.0,usd,2018-01-16,2018-01-16 00:41:00,1516052460.0,0.010019735384582288,-15176244.107944312,10.0730978
2018-01-16 07:28:00,12908.159580673711,btc,12896.0,13031.0,usd,2018-01-16,2018-01-16 07:28:00,1516076880.0,-0.0005719097283659983,880795.8889106194,13.4038483
2018-01-16 11:43:00,11649.922469221296,btc,11819.0,12026.0,usd,2018-01-16,2018-01-16 11:43:00,1516092180.0,-0.01416487722351281,21488127.960871223,62331.31980194001
2018-01-16 12:29:29,11692.987816158717,btc,11718.0,11872.0,usd,2018-01-16,2018-01-16 12:29:29,1516094969.0,-0.018578111901891497,28178750.16506189,66296.40050566997
2018-01-16 13:01:50,11215.124692430163,btc,11386.0,11515.0,usd,2018-01-16,2018-01-16 13:01:50,1516096910.0,-0.021393909377629205,32447615.86366928,71474.22406615001
2018-01-16 16:00:00,11649.69727624017,btc,11642.0,11897.879654899998,usd,2018-01-16,2018-01-16 16:00:00,1516107600.0,-0.03143795560814632,47675076.45173404,81947.62133933001
